ZOMET_IRONI,SEMEL_YISHUV,X,Y,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
20700111.0,5000,180659.0,667465.0,2023,2,67,4,1,2,1,8,1,0,1,1,2,3,1,1,2.0,1,1,51,12,2,7.62,29.0
9810033.0,6400,183005.0,674646.0,2023,4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2.0,1,1,51,9,1,2.52,27.0
9810033.0,6400,183005.0,674646.0,2023,4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2.0,1,1,51,13,1,2.52,47.0
9810033.0,6400,183005.0,674646.0,2023,4,59,4,1,7,1,8,0,3,2,1,3,3,1,1,2.0,1,1,51,5,1,2.52,5.0
10910146.0,3000,220581.0,631619.0,2023,6,34,4,1,4,1,9,3,0,1,1,4,3,1,1,2.0,1,1,11,7,2,2.58,7.0
7950012.0,7400,187201.0,692844.0,2023,7,52,4,1,4,1,8,0,2,1,1,5,3,1,0,1.0,1,1,41,99,0,1.32,
80001.0,2034,251300.0,765310.0,2023,3,54,4,1,2,1,9,3,0,1,1,2,3,1,9,7.0,1,1,21,4,1,0.6,3.0
150031.0,7400,186868.0,692764.0,2023,1,12,4,5,6,1,8,3,0,1,1,4,3,3,1,2.0,1,1,41,5,2,1.92,7.0
150031.0,7400,186868.0,692764.0,2023,1,12,4,5,6,1,8,3,0,1,1,4,3,3,1,2.0,1,1,41,5,1,1.92,7.0
60822.0,5000,179191.0,662310.0,2023,9,82,2,5,7,1,8,1,0,1,1,2,3,3,0,6.0,1,1,51,8,1,1.32,24.0
60822.0,5000,179191.0,662310.0,2023,9,82,2,5,7,1,8,1,0,1,1,2,3,3,0,6.0,1,1,51,7,1,1.32,18.0
430053.0,166,172506.0,632958.0,2023,7,52,4,1,4,1,8,3,0,1,1,2,3,1,0,5.0,1,1,44,8,1,4.5,4.0
430053.0,166,172506.0,632958.0,2023,7,52,4,1,4,1,8,3,0,1,1,2,3,1,0,5.0,1,1,44,6,2,4.5,6.0
11220225.0,9000,177421.0,574480.0,2023,5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,14,1,3.12,44.0
11220225.0,9000,177421.0,574480.0,2023,5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,8,2,3.12,17.0
11220225.0,9000,177421.0,574480.0,2023,5,65,4,1,4,1,9,1,0,1,1,0,5,1,1,2.0,9,9,62,10,1,3.12,30.0
8090032.0,9000,181202.0,573513.0,2023,4,83,4,5,3,1,5,3,0,1,1,3,3,3,0,1.0,1,1,62,8,1,2.52,16.0
