HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
10,35,4,1,4,1,9,3,0,1,1,3,3,1,0,7,1,1,51,15,1,1.32,54
12,91,4,5,7,1,8,0,2,2,1,4,3,3,1,2,1,1,42,6,1,3.97,10
12,91,4,5,7,1,8,0,2,2,1,4,3,3,1,2,1,1,42,4,1,3.97,
1,59,4,1,4,1,8,1,0,1,1,2,3,1,1,2,1,1,51,4,1,6.32,3
1,59,4,1,4,1,8,1,0,1,1,2,3,1,1,2,1,1,51,3,1,6.32,
3,52,4,1,4,1,8,3,0,1,1,2,3,1,9,,1,1,51,9,1,1.32,24
3,52,4,1,4,1,8,3,0,1,1,2,3,1,9,,1,1,51,12,2,1.32,43
1,17,4,5,5,1,8,3,0,1,1,5,3,3,1,2,1,1,11,9,1,7.02,26
1,17,4,5,5,1,8,3,0,1,1,5,3,3,1,2,1,1,11,7,1,7.02,9
11,87,4,5,6,1,8,3,0,1,1,0,3,3,0,5,1,1,42,15,1,6.96,52
11,87,4,5,6,1,8,3,0,1,1,0,3,3,0,5,1,1,42,99,1,6.96,3
2,66,4,1,4,1,8,3,0,1,1,3,3,1,0,5,2,2,44,7,1,1.32,19
2,66,4,1,4,1,8,3,0,1,1,3,3,1,0,5,2,2,44,6,2,1.32,11
3,47,4,1,1,1,9,0,3,1,1,2,3,1,1,2,1,1,42,6,2,1.32,4
3,47,4,1,1,1,9,0,3,1,1,2,3,1,1,2,1,1,42,10,1,1.32,30
3,42,4,1,6,1,9,0,2,3,1,5,3,1,1,2,1,1,61,12,1,5.7,33
3,42,4,1,6,1,9,0,2,3,1,5,3,1,1,2,1,1,61,10,1,5.7,19
5,79,4,5,3,1,8,3,0,1,1,2,3,6,0,6,1,1,51,17,1,1.32,34
4,45,4,1,1,1,8,0,3,1,1,1,3,1,0,1,1,1,42,99,0,0.6,
12,95,4,5,7,1,8,1,0,1,1,4,3,3,1,2,1,1,51,10,1,4.5,15
12,95,4,5,7,1,8,1,0,1,1,4,3,3,1,2,1,1,51,4,1,4.5,
4,37,3,1,6,1,8,3,0,1,1,3,3,1,0,1,1,1,51,15,1,0.6,56
7,1,4,5,2,1,8,0,3,1,1,2,4,6,1,2,1,1,11,7,1,5.04,14
7,1,4,5,2,1,8,0,3,1,1,2,4,6,1,2,1,1,11,15,2,5.04,31
3,65,4,1,5,1,8,0,4,1,1,2,3,1,1,2,1,1,11,13,2,3.84,43
3,65,4,1,5,1,8,0,4,1,1,2,3,1,1,2,1,1,11,5,1,3.84,7
4,35,4,1,6,1,9,3,0,3,1,0,3,1,0,1,1,1,51,99,0,1.6,
2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2,1,1,31,6,1,1.32,6
2,94,4,5,7,1,8,3,0,1,1,5,3,3,1,2,1,1,31,6,1,1.32,10
10,30,4,1,1,1,8,3,0,1,1,2,3,1,0,5,1,1,51,11,2,1.32,26
10,30,4,1,1,1,8,3,0,1,1,2,3,1,0,5,1,1,51,6,2,1.32,11
12,26,4,5,1,1,8,0,3,3,1,5,5,7,0,1,2,2,61,10,1,5.7,
1,80,4,5,7,1,8,0,5,1,1,4,3,6,0,1,1,1,41,10,1,1.98,29
1,80,4,5,7,1,8,0,5,1,1,4,3,6,0,1,1,1,41,6,1,1.98,10
3,83,4,5,3,1,8,0,3,3,1,4,3,3,1,2,1,1,61,14,1,8.52,32
3,83,4,5,3,1,8,0,3,3,1,4,3,3,1,2,1,1,61,6,1,8.52,13
4,59,2,1,4,1,8,3,0,1,1,3,3,1,0,5,1,1,41,6,2,1.32,12
4,59,2,1,4,1,8,3,0,1,1,3,3,1,0,5,1,1,41,5,1,1.32,5
9,65,2,1,7,1,8,1,0,1,1,2,3,1,0,5,1,1,31,12,2,1.32,39
9,65,2,1,7,1,8,1,0,1,1,2,3,1,0,5,1,1,31,5,2,1.32,4
9,91,4,5,4,1,9,3,0,4,1,3,3,3,9,7,1,1,11,12,1,3.97,27
9,91,4,5,4,1,9,3,0,4,1,3,3,3,9,7,1,1,11,5,1,3.97,4
7,84,4,5,3,1,8,0,5,1,1,2,3,6,1,2,1,1,31,11,2,1.32,34
7,84,4,5,3,1,8,0,5,1,1,2,3,6,1,2,1,1,31,6,2,1.32,9
10,56,4,1,2,1,8,1,0,1,1,2,3,1,1,2,1,1,51,99,0,1.92,
10,56,4,1,2,1,8,1,0,1,1,2,3,1,1,2,1,1,51,5,2,1.92,
7,39,4,1,1,1,8,0,5,3,1,4,3,1,1,2,1,1,61,9,1,3.84,24
7,39,4,1,1,1,8,0,5,3,1,4,3,1,1,2,1,1,61,6,1,3.84,10
7,26,4,1,6,1,9,0,2,1,1,5,3,1,1,2,1,1,31,17,1,1.25,59
6,93,4,5,2,1,8,3,0,1,1,4,3,3,0,1,1,1,51,7,1,2.58,10
8,96,4,5,6,1,8,1,0,1,1,4,3,3,1,2,1,1,51,6,1,1.92,11
8,96,4,5,6,1,8,1,0,1,1,4,3,3,1,2,1,1,51,8,1,1.92,3
3,63,4,1,4,1,8,0,2,1,1,0,3,1,1,2,1,1,44,16,2,1.32,51
3,63,4,1,4,1,8,0,2,1,1,0,3,1,1,2,1,1,44,14,1,1.32,47
