pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2023000829,1,1,4,0,,,,,31,0,650,,34,2023,6,10,41,4,1,7,9,2,2,9,2,0,5,1,4,3,1,,1,1,9,9,9,0,0,9,6,62,624,99,99,1,229654,564600
2023000840,1,2,3,0,,,,,596,611,39,9471,41,2023,8,28,65,4,1,2,0,3,2,8,3,0,4,1,3,5,1,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,211373,706519
2023000870,1,1,2,7400,1094,,2,,,,,,51,2023,6,8,63,4,1,5,9,2,1,9,0,3,1,1,2,3,1,7,1,1,9,9,9,3,3,2,4,41,411,0,13,3,185575,690243
2023000877,1,1,1,5000,3004,1620,,20420735,,,,,20,2023,12,11,75,4,5,2,1,3,1,8,1,0,1,3,4,3,3,2,1,1,9,9,9,1,4,1,5,51,511,0,13,1,176684,660184
2023000895,1,1,1,5000,1611,1639,,14350714,,,,,20,2023,1,15,32,4,1,1,1,3,2,9,3,0,1,1,0,3,1,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,177902,661953
2023000922,1,1,4,0,,,,,79,0,237,,14,2023,10,28,95,4,5,7,9,2,7,9,3,0,5,1,3,3,3,,1,1,9,9,9,0,0,9,2,23,237,99,99,1,226572,737041
2023000935,1,1,3,0,,,,,65,7264,516,10461,14,2023,11,28,86,4,5,3,1,3,2,9,3,0,5,1,4,3,3,2,1,1,9,9,9,0,0,9,2,23,233,99,99,1,233236,727702
2023000944,1,1,2,2610,242,,9,,,,,,61,2023,5,10,79,4,5,4,9,3,5,9,3,0,1,1,2,3,6,,1,1,9,9,9,0,0,9,1,11,112,0,14,3,199857,628073
2023000957,1,2,4,0,,,,,356,0,19,,43,2023,1,9,31,4,1,2,9,3,2,5,0,2,4,1,3,3,1,,1,1,9,9,9,0,0,9,7,77,777,99,99,1,221525,618815
2023000970,1,1,1,8600,1742,3112,,97710478,,,,,20,2023,6,12,45,4,1,2,0,2,1,9,3,0,1,0,3,5,1,1,1,1,9,9,9,3,1,9,5,51,512,0,14,1,184832,662148
2023000989,1,1,2,8600,205,,147,,,,,,20,2023,10,19,50,4,1,5,9,2,1,8,0,2,1,1,3,3,1,,1,1,9,9,9,3,2,9,5,51,512,0,14,1,183282,666418
2023000992,1,1,2,5000,1034,,1,,,,,,20,2023,2,11,79,4,5,7,9,3,1,8,3,0,1,1,2,3,3,,1,1,7,9,6,8,0,9,5,51,511,0,13,1,179724,664577
2023000998,1,1,4,0,,,,,57,0,17,,51,2023,8,11,1,4,5,6,9,3,3,8,0,2,5,1,4,4,3,2,1,1,9,9,9,0,0,9,4,41,411,99,99,1,189245,692225
2023001000,1,1,1,70,260,302,,8070011,,,,,38,2023,9,12,40,4,1,3,1,3,2,8,0,3,1,1,5,3,1,2,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167320,633180
2023001006,1,1,2,1061,109,,18,,,,,,14,2023,8,28,35,4,1,2,9,2,1,9,3,0,1,1,5,3,1,,1,1,9,9,9,3,3,1,2,23,237,0,16,1,230672,734656
2023001014,1,1,2,2710,,,9999,,,,,,12,2023,6,27,69,4,1,3,9,3,5,4,3,0,1,2,2,4,1,,1,1,9,9,9,0,0,9,3,32,323,0,25,2,214504,714033
