HODESH_TEUNA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years,HOUR
4,4,1,7,1,8,0,3,2,1,2,3,1,1,2.0,1,1,62,15,1,2.88,55.0,17
12,4,5,5,1,8,0,5,1,1,5,5,4,1,2.0,1,1,61,5,1,5.7,6.0,23
12,4,5,5,1,8,0,5,1,1,5,5,4,1,2.0,1,1,61,6,1,5.7,5.0,23
2,4,1,7,1,9,0,3,1,1,3,3,1,1,2.0,1,1,62,6,1,7.09,12.0,15
2,4,1,7,1,9,0,3,1,1,3,3,1,1,2.0,1,1,62,6,1,7.09,10.0,15
6,4,1,4,1,9,0,4,1,1,2,3,1,1,2.0,1,1,41,10,2,0.6,32.0,16
6,4,1,6,1,11,0,3,1,1,5,3,1,1,2.0,1,1,31,12,1,3.8,25.0,16
12,4,1,3,1,9,3,0,1,1,2,3,1,0,1.0,9,1,42,5,2,0.6,6.0,13
1,4,5,7,1,8,0,3,1,1,3,5,6,1,3.0,2,2,41,9,1,3.84,23.0,20
1,4,5,7,1,8,0,3,1,1,3,5,6,1,3.0,2,2,41,5,1,3.84,7.0,20
9,2,1,7,1,9,1,0,1,0,3,3,1,1,2.0,1,1,51,3,1,3.97,,18
9,2,1,7,1,9,1,0,1,0,3,3,1,1,2.0,1,1,51,9,1,3.97,22.0,18
2,4,5,1,1,5,1,0,1,1,1,3,3,0,5.0,1,1,11,5,1,0.6,7.0,18
9,4,1,5,1,8,0,3,1,1,2,4,1,0,1.0,1,1,61,14,1,1.32,49.0,12
9,4,1,5,1,8,0,3,1,1,2,4,1,0,1.0,1,1,61,12,2,1.32,39.0,12
3,4,1,5,1,8,3,0,1,0,3,3,1,1,2.0,1,1,51,8,1,1.32,21.0,8
3,4,1,5,1,8,3,0,1,0,3,3,1,1,2.0,1,1,51,10,2,1.32,26.0,8
9,4,1,6,1,8,3,0,1,1,4,3,1,1,2.0,1,1,51,12,1,3.84,41.0,13
9,4,1,6,1,8,3,0,1,1,4,3,1,1,2.0,1,1,51,17,1,3.84,,13
11,4,5,4,1,8,1,0,1,1,2,3,6,1,2.0,1,1,51,12,1,3.97,40.0,6
11,4,5,4,1,8,1,0,1,1,2,3,6,1,2.0,1,1,51,8,1,3.97,,6
